Comment,Designator,Footprint,LCSC
FerriteBead_Small,"FB1,FB2",L_0805_2012Metric,C1017
150pF,C24,C_0402_1005Metric,C106998
12.4k,R7,R_0402_1005Metric,C11692
1k,"R15,R17,R38,R43,R48,R53,R58,R63,R68,R73,R78,R83,R88,R93,R98",R_0402_1005Metric,C11702
2.2uF,"C44,C45",C_0402_1005Metric,C12530
442,R16,R_0402_1005Metric,C126137
3.01k,R11,R_0402_1005Metric,C137994
240k,R9,R_0402_1005Metric,C138030
18k,"R3,R8",R_0402_1005Metric,C138044
49.9,R22,R_0402_1005Metric,C144754
100uF,"C18,C19,C20,C21,C22",C_1206_3216Metric,C15008
10nF,"C49,C52,C55,C61,C64,C67,C70,C73,C76,C79,C82,C85,C88",C_0402_1005Metric,C15195
100nF,"C11,C16,C17,C26,C27,C28,C29,C3,C30,C31,C33,C34,C36,C37,C48,C51,C54,C60,C63,C66,C69,C7,C72,C75,C78,C81,C84,C87",C_0402_1005Metric,C1525
2.2nF,C23,C_0402_1005Metric,C1531
22nF,"C50,C53,C59,C62,C65,C68,C71,C74,C77,C80,C83,C86,C89",C_0402_1005Metric,C1532
15pF,"C40,C41",C_0402_1005Metric,C1548
6.8uH,L2,L_Chilisin_BMRF00101040,C167231
56uH,L1,L_Changjiang_FNR5020S,C167944
0,"R26,R31",R_0402_1005Metric,C17168
D_Schottky,D1,D_SOD-323,C191023
LED_WHITE,"D6,D7,D8",LED_0402_1005Metric,C20613596
LED,"D2,D3,D4",LED_0603_1608Metric,C2286
4.7uF,"C32,C35,C43,C56",C_0402_1005Metric,C23733
220,"R19,R20,R21,R23,R33",R_0402_1005Metric,C25091
100k,"R1,R5",R_0402_1005Metric,C25741
10k,"R10,R12,R2,R36,R39,R41,R44,R46,R49,R51,R54,R56,R59,R61,R64,R66,R69,R71,R74,R76,R79,R81,R84,R86,R89,R91,R94,R96,R99",R_0402_1005Metric,C25744
11k,R14,R_0402_1005Metric,C25749
2.2k,R32,R_0402_1005Metric,C25879
4.7k,"R27,R28,R29,R34,R6",R_0402_1005Metric,C25900
5.9k,R4,R_0402_1005Metric,C270591
"24MHz, 9pF",Y1,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,C2929399
TPS54620,U2,Texas_S-PVQFN-N14_ThermalVias,C29438
100nF,"C46,C57",C_0402_1005Metric,C307331
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
