Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0402_1005Metric,122.139,-90.17,0.0,top
C10,10uF,C_1206_3216Metric,146.1574,-110.0588,0.0,top
C11,100nF,C_0402_1005Metric,144.7858,-108.3316,0.0,top
C12,10uF,C_1206_3216Metric,142.539,-104.156732,0.0,top
C13,10uF,C_1206_3216Metric,142.539,-106.5282,0.0,top
C14,10uF,C_1206_3216Metric,137.7674,-107.578866,180.0,top
C15,10uF,C_1206_3216Metric,137.7674,-105.2074,180.0,top
C16,100nF,C_0402_1005Metric,137.7682,-103.438666,180.0,top
C17,100nF,C_0402_1005Metric,134.9266,-98.7812,90.0,top
C18,100uF,C_1206_3216Metric,142.5448,-81.3324,90.0,top
C19,100uF,C_1206_3216Metric,132.5428,-81.2816,90.0,top
C2,10uF,C_1206_3216Metric,117.9988,-109.0898,180.0,top
C20,100uF,C_1206_3216Metric,135.0433,-81.3052,90.0,top
C21,100uF,C_1206_3216Metric,137.5438,-81.307,90.0,top
C22,100uF,C_1206_3216Metric,140.0443,-81.3324,90.0,top
C23,2.2nF,C_0402_1005Metric,141.5066,-98.578,0.0,top
C24,150pF,C_0402_1005Metric,142.616,-99.6508,0.0,top
C25,82nF,C_0402_1005Metric,142.621,-100.7362,0.0,top
C26,100nF,C_0402_1005Metric,102.0836,-59.6852,90.0,top
C27,100nF,C_0402_1005Metric,109.9618,-85.471,180.0,top
C28,100nF,C_0402_1005Metric,97.7968,-85.471,180.0,top
C29,100nF,C_0402_1005Metric,113.1104,-69.7992,-90.0,top
C3,100nF,C_0402_1005Metric,117.4908,-107.134,180.0,top
C30,100nF,C_0402_1005Metric,97.6952,-66.8274,0.0,top
C31,100nF,C_0402_1005Metric,94.488,-74.676,90.0,top
C32,4.7uF,C_0402_1005Metric,109.9592,-86.5378,0.0,top
C33,100nF,C_0402_1005Metric,137.9475,-60.198,0.0,top
C34,100nF,C_0402_1005Metric,94.3652,-79.5782,90.0,top
C35,4.7uF,C_0402_1005Metric,93.2984,-79.5782,-90.0,top
C36,100nF,C_0402_1005Metric,93.9842,-72.7202,0.0,top
C37,100nF,C_0402_1005Metric,89.027,-64.4906,180.0,top
C4,10uF,C_1206_3216Metric,118.0242,-102.937332,180.0,top
C40,15pF,C_0402_1005Metric,91.0632,-73.5076,180.0,top
C41,15pF,C_0402_1005Metric,91.114,-77.4446,0.0,top
C42,1uF,C_0402_1005Metric,165.719,-57.3786,0.0,top
C43,4.7uF,C_0402_1005Metric,104.549,-101.9048,180.0,top
C44,2.2uF,C_0402_1005Metric,108.458,-86.0044,-90.0,top
